Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,Cash2023,Age
Jerami Grant,PF,POR,63,63,"2,245","1,290",150,51,53,116,283,53,230,434,47.5,144,40.1,278,"$27,586,207 ",28
Evan Mobley,PF,CLE,79,79,"2,715","1,277",224,60,119,146,711,187,524,525,55.4,22,21.6,205,"$8,882,640 ",21
Bojan Bogdanovic,SF,DET,59,59,"1,892","1,273",152,34,8,135,223,36,187,430,48.8,145,41.1,268,"$20,000,000 ",33
Brook Lopez,C,MIL,78,78,"2,372","1,239",99,37,193,107,520,157,363,477,53.1,136,37.4,149,"$25,000,000 ",34
Kawhi Leonard,SF,LAC,52,50,"1,747","1,239",204,72,28,88,338,57,281,446,51.2,104,41.6,243,"$45,640,084 ",31
Harrison Barnes,PF,SAC,82,82,"2,650","1,230",128,57,10,86,366,87,279,374,47.3,132,37.4,350,"$17,000,000 ",30
Deandre Ayton,C,PHX,67,67,"2,035","1,203",115,37,53,120,667,172,495,522,58.9,7,29.2,152,"$32,459,438 ",24
Jaren Jackson Jr.,PF,MEM,63,63,"1,787","1,173",60,65,189,107,426,108,318,416,50.6,100,35.5,241,"$27,102,202 ",23
Trey Murphy III,SF,NOP,79,65,"2,435","1,148",112,89,43,61,281,59,222,387,48.4,202,40.6,172,"$3,359,280 ",22
PJ Washington,PF,CHA,73,73,"2,379","1,144",175,66,79,110,358,73,285,434,44.4,149,34.8,127,$0 ,24
OG Anunoby,SF,TOR,67,67,"2,385","1,124",131,128,50,132,332,95,237,421,47.6,142,38.7,140,"$18,642,857 ",25
Jonas Valanciunas,C,NOP,79,79,"1,968","1,115",140,20,52,159,804,225,579,446,54.7,38,34.9,185,"$15,435,000 ",30
Christian Wood,C,DAL,67,17,"1,738","1,114",121,30,72,121,491,87,404,396,51.5,105,37.6,217,$0 ,27
Myles Turner,C,IND,62,62,"1,825","1,113",89,36,140,103,466,88,378,402,54.8,93,37.3,216,"$20,975,000 ",26
Brandon Ingram,SF,NOP,45,45,"1,538","1,112",262,32,19,148,246,23,223,404,48.4,64,39,240,"$33,833,400 ",25
Aaron Gordon,PF,DEN,68,68,"2,055","1,109",203,54,51,98,446,164,282,429,56.4,60,34.7,191,"$21,266,182 ",27
Alperen Sengun,C,HOU,75,72,"2,170","1,109",291,70,70,193,678,242,436,442,55.3,19,33.3,206,"$3,536,280 ",20
Tobias Harris,PF,PHI,74,74,"2,435","1,085",186,68,40,89,424,67,357,423,50.1,126,38.9,113,"$39,270,150 ",30
Michael Porter Jr.,SF,DEN,62,62,"1,797","1,080",65,37,29,68,341,64,277,398,48.7,188,41.4,96,"$33,386,850 ",24
Saddiq Bey,SF,ATL,77,37,"2,128","1,062",118,70,13,71,362,98,264,353,42.2,151,36.1,205,"$4,556,983 ",23
Jalen Williams,SF,OKC,75,62,"2,275","1,056",248,103,35,123,337,84,253,414,52.1,73,35.6,155,"$4,558,680 ",21
Dillon Brooks,SF,MEM,73,73,"2,214","1,047",189,65,16,104,244,45,199,392,39.6,143,32.6,120,"$22,600,000 ",27
Kenyon Martin Jr.,SF,HOU,82,49,"2,292","1,039",123,41,30,91,452,126,326,410,56.9,68,31.5,151,"$1,930,681 ",22
De'Andre Hunter,SF,ATL,67,67,"2,125","1,029",94,35,17,82,284,46,238,379,46.1,100,35,171,"$20,089,286 ",25
Jabari Smith Jr.,PF,HOU,79,79,"2,450","1,010",101,43,74,104,569,122,447,364,40.8,120,30.7,162,"$9,326,520 ",19
Bobby Portis,PF,MIL,70,22,"1,818",987,105,29,16,81,672,154,518,398,49.6,95,37,96,"$11,710,818 ",27
Keegan Murray,PF,SAC,80,78,"2,381",976,98,61,42,60,371,89,282,354,45.3,206,41.1,62,"$8,409,000 ",22
Kelly Oubre Jr.,SF,CHA,48,40,"1,547",972,54,67,18,64,249,65,184,353,43.1,108,31.9,158,$0 ,27
Jarrett Allen,C,CLE,68,68,"2,220",969,113,54,84,93,666,221,445,403,64.4,1,10,162,"$20,000,000 ",24
Nicolas Claxton,C,BKN,76,76,"2,270",961,144,65,189,96,702,184,518,414,70.5,0,0,133,"$8,750,000 ",23
Jaden McDaniels,PF,MIN,79,79,"2,413",953,148,74,76,112,307,92,215,370,51.7,107,39.8,106,"$3,901,399 ",22
Rudy Gobert,C,MIN,70,70,"2,148",939,87,57,95,122,814,231,583,360,65.9,0,0,219,"$41,000,000 ",30
John Collins,PF,ATL,71,71,"2,129",931,85,42,73,79,462,77,385,359,50.8,70,29.2,143,"$25,340,000 ",25
Jakob Poeltl,C,TOR,72,71,"1,906",897,197,66,86,125,653,236,417,389,62.9,0,0,119,"$19,500,000 ",27
Wendell Carter Jr.,C,ORL,57,54,"1,689",868,132,30,33,106,497,120,377,322,52.5,80,35.6,144,"$13,050,000 ",23
Mason Plumlee,C,LAC,79,60,"2,053",857,245,46,47,117,700,229,471,329,68,0,0,199,"$5,000,000 ",32
Kelly Olynyk,PF,UTA,68,68,"1,941",847,252,60,37,168,420,82,338,278,49.9,93,39.4,198,"$12,195,122 ",31
Eugene Omoruyi,SF,DET,120,18,"1,935",834,84,84,9,102,333,129,204,303,132.9,75,84.3,153,$0 ,25
Patrick Williams,SF,CHI,82,65,"2,323",833,100,72,70,101,327,78,249,314,46.4,115,41.5,90,"$9,835,881 ",21
Corey Kispert,SF,WAS,74,45,"2,081",820,87,32,9,55,207,33,174,291,49.7,163,42.4,75,"$3,722,040 ",23
Ivica Zubac,C,LAC,76,76,"2,169",818,77,29,98,117,756,236,520,326,63.4,0,0,166,"$10,933,333 ",25
Onyeka Okongwu,C,ATL,80,18,"1,848",791,81,56,107,81,576,217,359,317,63.8,4,30.8,153,"$8,109,063 ",22
Naz Reid,C,MIN,68,11,"1,250",781,77,42,53,92,333,73,260,310,53.7,75,34.6,86,"$12,950,400 ",23
Clint Capela,C,ATL,65,63,"1,730",779,58,45,79,54,717,258,459,350,65.3,0,0,79,"$20,616,000 ",28
Tari Eason,PF,HOU,82,6,"1,767",760,88,96,47,101,496,195,301,296,44.8,59,34.3,109,"$3,527,160 ",21
Jalen McDaniels,SF,PHI,80,24,"1,912",755,130,83,34,92,345,63,282,281,45.5,77,33.2,116,"$4,516,000 ",25
Zion Williamson,PF,NOP,29,29,956,754,133,32,16,99,202,58,144,285,60.8,7,36.8,177,"$34,005,250 ",22
Aaron Nesmith,SF,IND,73,60,"1,816",738,98,55,34,75,277,62,215,252,42.7,115,36.6,119,"$5,634,257 ",23
Gordon Hayward,SF,CHA,50,50,"1,576",733,206,42,12,99,215,33,182,276,47.5,52,32.5,129,"$31,500,000 ",32
Zach Collins,C,SAS,63,26,"1,440",731,180,37,49,129,402,116,286,284,51.8,55,37.4,108,"$7,700,000 ",25
Marcus Morris Sr.,SF,LAC,65,65,"1,825",728,114,42,21,56,258,29,229,274,42.6,112,36.4,68,"$17,116,279 ",33
Chris Boucher,PF,TOR,76,0,"1,523",712,29,47,64,41,421,157,264,261,49.3,62,32.8,128,"$11,750,000 ",30
Rui Hachimura,PF,LAL,63,9,"1,466",707,58,19,26,53,283,53,230,284,48.6,51,31.9,88,"$15,740,741 ",24
Daniel Gafford,C,WAS,78,47,"1,605",705,84,33,99,85,433,163,270,289,73.2,0,0,127,"$12,402,000 ",24
Naji Marshall,SF,NOP,77,21,"1,791",698,189,54,14,97,279,48,231,247,43.3,66,30.3,138,"$1,930,681 ",25
Deni Avdija,SF,WAS,76,40,"2,020",697,211,65,29,123,487,74,413,253,43.7,69,29.7,122,"$6,263,188 ",22
Santi Aldama,C,MEM,77,20,"1,681",696,97,45,48,60,371,85,286,247,47,94,35.3,108,"$2,194,200 ",22
Jusuf Nurkic,C,POR,52,52,"1,391",694,149,43,44,119,471,114,357,262,51.9,43,36.1,127,"$16,875,000 ",28
Caleb Martin,SF,MIA,71,49,"2,077",683,117,71,31,78,344,88,256,254,46.4,84,35.6,91,"$6,802,950 ",27
Walker Kessler,C,UTA,74,40,"1,703",679,69,26,173,58,620,231,389,298,72,1,33.3,82,"$2,831,160 ",21
Royce O'Neale,SF,BKN,76,52,"2,408",671,283,65,49,114,384,55,329,229,38.6,163,38.9,50,"$9,500,000 ",29
Cedi Osman,SF,CLE,77,3,"1,548",669,115,35,11,52,176,25,151,239,45.1,116,37.2,75,"$6,718,842 ",27
Jonathan Kuminga,PF,GSW,67,16,"1,394",666,125,41,31,95,231,70,161,261,52.5,54,37,90,"$6,012,840 ",20
Doug McDermott,SF,SAS,64,0,"1,314",654,91,13,6,58,139,24,115,239,45.7,123,41.3,53,"$13,750,000 ",31
Cameron Johnson,SF,BKN,42,41,"1,199",650,78,50,14,37,185,34,151,223,47,103,40.4,101,"$24,107,143 ",26
Herb Jones,SF,NOP,66,66,"1,950",649,162,103,42,88,269,97,172,235,46.9,56,33.5,123,"$12,015,150 ",24
Kyle Anderson,PF,MIN,69,46,"1,940",647,335,78,63,103,368,66,302,252,50.9,43,41,100,"$9,219,512 ",29
Keita Bates-Diop,SF,SAS,67,42,"1,452",647,103,46,20,56,248,65,183,236,50.8,56,39.4,119,"$2,346,614 ",27
Jalen Smith,PF,IND,68,31,"1,278",642,66,21,60,72,394,129,265,242,47.6,54,28.3,104,"$5,043,773 ",22
Grant Williams,PF,BOS,79,23,"2,044",641,131,41,31,82,363,87,276,216,45.4,115,39.5,94,"$12,558,140 ",24
A.J. Griffin,SF,ATL,72,12,"1,401",639,73,42,12,42,153,37,116,248,46.5,101,39,42,"$3,712,920 ",19
Georges Niang,PF,PHI,78,1,"1,511",637,77,30,14,54,185,19,166,222,44.2,154,40.1,39,"$8,253,968 ",29
Bol Bol,PF,ORL,70,33,"1,505",634,69,30,85,112,405,69,336,261,54.6,30,26.5,82,$0 ,23
Andrew Wiggins,SF,GSW,37,37,"1,190",633,85,45,28,48,186,61,125,250,47.3,89,39.6,44,"$24,330,357 ",27
Jarred Vanderbilt,PF,LAL,78,65,"1,879",619,184,83,21,97,582,170,412,247,54.8,29,32.2,96,"$4,640,000 ",23
Draymond Green,PF,GSW,73,73,"2,297",617,500,74,60,204,525,66,459,250,52.7,40,30.5,77,"$22,321,429 ",32
Al Horford,C,BOS,63,63,"1,922",616,189,30,61,37,390,73,317,228,47.6,145,44.6,15,"$10,000,000 ",36
Jeremy Sochan,PF,SAS,56,53,"1,457",614,142,43,23,97,295,95,200,250,45.3,33,24.6,81,"$5,316,960 ",19
Jalen Duren,C,DET,67,31,"1,670",612,75,44,59,92,595,229,366,258,64.8,0,0,96,"$4,330,680 ",19
Karl-Anthony Towns,C,MIN,29,29,949,602,140,20,17,86,236,48,188,212,49.5,60,36.6,118,"$36,016,200 ",27
Moritz Wagner,C,ORL,57,18,"1,109",600,84,37,13,68,259,69,190,198,50,51,31.3,153,"$7,692,308 ",25
Torrey Craig,SF,PHX,79,60,"1,942",588,117,50,62,73,426,145,281,228,45.6,100,39.5,32,"$2,528,233 ",32
Thomas Bryant,C,DEN,59,26,"1,081",579,31,16,30,38,339,86,253,230,62.3,26,44.1,93,"$2,528,233 ",25
Kevon Looney,C,GSW,82,70,"1,957",578,207,52,50,45,760,274,486,242,63,0,0,94,"$7,500,000 ",26
Isaiah Stewart,C,DET,50,47,"1,414",567,70,20,34,68,403,115,288,195,44.2,67,32.7,110,"$5,266,713 ",21
Trey Lyles,PF,SAC,74,0,"1,247",562,66,27,31,64,300,68,232,187,45.8,87,36.2,101,"$7,692,308 ",27
Reggie Bullock,SF,DAL,78,55,"2,348",561,108,54,13,36,283,32,251,192,40.9,151,38,26,"$10,489,600 ",31
Brandon Clarke,PF,MEM,56,8,"1,090",558,72,34,37,55,310,92,218,229,65.6,1,16.7,99,"$12,500,000 ",26
Dorian Finney-Smith,PF,BKN,66,66,"2,008",551,100,55,36,62,316,114,202,196,39.1,114,33.7,45,"$13,394,160 ",29
Jordan Nwora,SF,IND,62,14,"1,188",542,88,24,14,66,229,51,178,194,43.6,86,40.8,68,"$3,000,000 ",24
Nick Richards,C,CHA,65,9,"1,217",532,38,11,71,59,416,147,269,197,62.9,1,100,137,"$5,000,000 ",25
Terrence Ross,SF,PHX,63,9,"1,330",522,95,35,10,43,154,22,132,200,43,95,36.8,27,$0 ,31
Drew Eubanks,C,POR,78,28,"1,583",518,103,40,102,67,418,132,286,214,64.1,7,38.9,83,"$2,346,614 ",25
Sam Hauser,SF,BOS,80,8,"1,289",512,71,29,21,30,204,35,169,180,45.5,140,41.8,12,"$1,927,896 ",25
Kevin Love,PF,MIA,62,20,"1,244",509,116,16,12,70,399,59,340,165,38.9,99,33.4,80,"$3,835,738 ",34
Precious Achiuwa,PF,TOR,55,12,"1,140",508,50,31,30,59,328,100,228,196,48.5,29,26.9,87,"$4,379,527 ",23
Dwight Powell,C,DAL,76,63,"1,458",506,69,48,26,65,314,149,165,197,73.2,0,0,112,"$3,703,704 ",31
Marvin Bagley III,PF,DET,42,25,990,504,36,19,30,46,269,94,175,202,52.9,19,28.8,81,"$12,500,000 ",23
Khris Middleton,SF,MIL,33,19,800,497,163,23,5,71,140,28,112,177,43.6,51,31.5,92,"$31,481,481 ",31
Obi Toppin,PF,NYK,67,5,"1,050",497,66,23,12,38,187,29,158,187,44.6,85,34.4,38,"$6,803,012 ",24
Taurean Prince,PF,MIN,54,4,"1,192",493,84,28,15,69,132,15,117,177,46.7,74,38.1,65,"$4,516,000 ",28
Nicolas Batum,SF,LAC,78,19,"1,709",478,121,54,44,50,299,62,237,160,42,124,39.1,34,"$11,710,818 ",34
Ochai Agbaji,SF,UTA,59,22,"1,209",467,67,16,15,41,121,43,78,165,42.7,81,35.5,56,"$4,114,200 ",22
David Roddy,PF,MEM,70,4,"1,258",466,59,29,19,57,193,50,143,180,42.9,65,30.7,41,"$2,718,240 ",21
Trendon Watford,PF,POR,62,12,"1,181",459,130,32,12,71,238,42,196,181,56,25,39.1,72,$0 ,22
Jock Landale,C,PHX,69,4,978,456,68,16,30,59,280,119,161,178,52.8,21,25,79,"$7,441,860 ",27
Isaiah Jackson,PF,IND,63,12,"1,042",455,51,31,93,51,282,113,169,179,56.3,2,14.3,95,"$2,696,280 ",21
James Wiseman,C,DET,45,22,867,450,30,7,27,51,267,73,194,189,55.8,4,20,68,"$12,119,440 ",21
Larry Nance Jr.,PF,NOP,65,1,"1,377",441,119,56,37,42,354,106,248,186,61,14,33.3,55,"$10,375,000 ",30
Jeff Green,PF,DEN,56,4,"1,092",437,69,18,17,46,144,38,106,160,48.8,30,28.8,87,"$7,804,878 ",36
Mitchell Robinson,C,NYK,59,58,"1,591",435,53,56,109,41,555,267,288,188,67.1,0,0,59,"$15,681,818 ",24
Xavier Tillman,C,MEM,61,29,"1,180",429,96,58,29,44,307,121,186,188,61.4,4,26.7,49,"$1,930,681 ",24
Kenrich Williams,PF,OKC,53,10,"1,205",425,105,45,14,32,261,97,164,179,51.7,50,37.3,17,"$6,175,000 ",28
Kevin Knox,SF,POR,63,5,951,415,33,24,12,50,177,34,143,152,45.8,65,34.9,46,"$3,000,000 ",23
Anthony Lamb,SF,GSW,62,5,"1,194",415,96,28,20,54,215,56,159,148,47.1,73,36.7,46,$0 ,25
Isaiah Hartenstein,C,NYK,82,8,"1,626",406,102,53,64,66,536,209,327,175,53.5,8,21.6,48,"$8,195,121 ",24
Andre Drummond,C,CHI,67,0,849,399,33,45,27,75,444,138,306,166,60.6,0,0,67,"$3,360,000 ",29
Oshae Brissett,SF,IND,65,2,"1,083",398,44,33,13,34,218,62,156,123,38.6,48,31,104,"$2,165,000 ",24
Jalen Johnson,SF,ATL,70,6,"1,041",395,83,38,34,41,282,51,231,158,49.1,30,28.8,49,"$2,925,360 ",21
Cam Reddish,SF,POR,40,20,989,387,57,39,14,47,88,18,70,139,44.6,45,31.2,64,"$2,165,000 ",23
Mark Williams,C,CHA,44,17,828,387,18,28,45,40,304,93,211,160,63.7,0,0,67,"$3,908,160 ",21
Mike Muscala,C,BOS,63,9,944,383,50,15,24,23,203,37,166,131,44.9,81,39.1,40,"$3,500,000 ",31
Wenyen Gabriel,PF,LAL,68,2,"1,023",372,36,26,35,46,286,116,170,155,59.6,10,27.8,52,$0 ,25
JaMychal Green,PF,GSW,57,1,796,366,51,24,23,52,206,73,133,136,54,42,37.8,52,$0 ,32
Gorgui Dieng,C,SAS,93,3,"1,074",363,159,12,42,96,321,81,240,135,115.5,63,84,30,$0 ,33
Dario Saric,PF,OKC,57,12,805,362,74,20,7,55,207,53,154,127,45.8,45,39.1,63,"$2,709,849 ",28
Chris Duarte,SF,IND,46,12,897,362,64,25,9,41,115,19,96,123,36.9,55,31.8,61,"$4,124,400 ",25
Steven Adams,C,MEM,42,42,"1,133",361,97,36,46,79,485,214,271,157,59.7,0,0,47,"$12,600,000 ",29
Nassir Little,SF,POR,54,4,976,359,50,20,20,36,141,27,114,134,44.2,58,36.7,33,"$6,250,000 ",22
Isaiah Livers,SF,DET,52,22,"1,198",346,41,28,28,30,143,28,115,120,41.7,74,36.5,32,"$1,836,096 ",24
Lamar Stevens,SF,CLE,62,24,"1,120",328,33,27,19,27,207,48,159,129,44.8,30,31.6,40,"$1,930,681 ",25
Simone Fontecchio,SF,UTA,52,6,765,328,42,15,8,39,86,31,55,115,36.9,63,33,35,"$3,044,872 ",27
Mohamed Bamba,C,LAL,50,7,770,323,46,13,43,30,225,58,167,117,48.5,48,38.7,41,"$2,346,614 ",24
Montrezl Harrell,C,PHI,57,7,681,322,33,17,25,35,160,68,92,126,60,0,0,70,"$2,891,467 ",29
Yuta Watanabe,SF,BKN,58,1,927,322,48,25,17,22,142,30,112,114,49.1,60,44.4,34,"$2,346,614 ",28
Chimezie Metu,C,SAC,66,0,688,321,40,22,21,32,198,47,151,129,58.9,9,23.7,54,"$2,346,614 ",25
Derrick Jones Jr.,SF,CHI,65,0,894,319,34,29,37,25,153,60,93,115,50,27,33.8,62,$0 ,25
Joe Ingles,SF,MIL,46,0,"1,043",317,150,33,6,55,128,13,115,108,43.5,83,40.9,18,"$10,731,707 ",35
T.J. Warren,SF,PHX,42,0,686,314,40,22,12,20,121,26,95,132,48.9,22,32.8,28,$0 ,29
Vlatko Cancar,PF,DEN,60,9,889,297,80,22,14,37,128,24,104,108,47.6,43,37.4,38,"$2,234,359 ",25
Rudy Gay,PF,UTA,56,0,815,293,57,19,18,37,163,33,130,109,38,33,25.4,42,"$6,479,000 ",36
Jeremiah Robinson-Earl,PF,OKC,43,20,813,292,43,24,11,19,180,71,109,110,44.4,37,33.3,35,"$1,900,000 ",22
Robert Covington,PF,LAC,48,0,778,288,57,38,33,32,166,31,135,102,44.5,54,39.7,30,"$11,692,308 ",32
Jaylin Williams,C,OKC,49,36,914,288,76,28,12,37,241,44,197,102,43.6,46,40.7,38,"$2,000,000 ",20
Paul Reed,C,PHI,69,2,755,287,27,46,51,45,262,112,150,124,59.3,1,16.7,38,$0 ,23
Jae’Sean Tate,SF,HOU,31,7,677,283,84,21,7,47,118,41,77,110,48,13,28.3,50,"$6,500,000 ",27
Robert Williams III,C,BOS,35,20,823,279,50,22,48,34,292,104,188,127,74.7,0,0,25,"$11,571,429 ",25
Zeke Nnaji,PF,DEN,52,5,726,277,18,17,23,31,138,65,73,110,56.1,17,26.2,40,"$4,306,281 ",22
Aleksej Pokusevski,PF,OKC,34,25,701,276,64,20,43,43,159,45,114,108,43.4,38,36.5,22,"$5,009,633 ",21
Danuel House Jr.,SF,PHI,56,5,806,268,44,14,9,26,94,9,85,93,47.2,37,33.6,45,"$4,310,250 ",29
Duncan Robinson,SF,MIA,42,1,690,268,46,14,0,28,69,8,61,88,37.1,63,32.8,29,"$18,154,000 ",28
P.J. Tucker,PF,PHI,75,75,"1,920",266,60,39,15,44,295,95,200,96,42.7,55,39.3,19,"$11,014,500 ",37
Bismack Biyombo,C,PHX,61,14,874,263,56,18,88,51,260,89,171,119,57.8,0,0,25,$0 ,30
Sandro Mamukelashvili,C,SAS,43,7,659,263,62,14,12,35,185,70,115,97,42.2,30,30.3,39,"$2,019,706 ",23
Willy Hernangomez,C,NOP,37,2,457,262,33,17,13,39,180,58,122,89,52.7,3,27.3,81,$0 ,28
JT Thor,PF,CHA,70,8,969,262,36,22,23,44,152,36,116,95,39.9,39,31.7,33,"$1,836,096 ",20
Luke Kornet,C,BOS,69,0,804,261,53,11,46,25,197,86,111,113,66.5,3,23.1,32,"$2,413,304 ",27
Ishmail Wainright,SF,PHX,60,2,915,251,53,38,22,22,139,45,94,84,37,57,32.9,26,"$1,927,896 ",28
Thaddeus Young,PF,TOR,54,9,795,240,75,54,5,42,166,71,95,108,54.5,6,17.6,18,"$8,000,000 ",34
Jaxson Hayes,C,NOP,47,2,609,233,34,20,19,31,132,39,93,86,55.1,3,10.3,58,"$2,165,000 ",22
Day'Ron Sharpe,C,BKN,48,3,552,227,37,15,32,42,200,99,101,93,54.4,6,54.5,35,"$2,210,040 ",21
Usman Garuba,PF,HOU,75,1,969,225,64,44,29,47,307,120,187,86,48.6,24,40.7,29,"$2,588,400 ",20
Darius Bazley,PF,PHX,43,1,616,224,38,22,34,27,138,34,104,83,45.4,20,37.7,38,$0 ,22
Maxi Kleber,PF,DAL,37,5,929,220,52,12,30,27,135,30,105,77,45.6,39,34.8,27,"$11,000,000 ",31
Jabari Walker,SF,POR,56,0,619,216,34,10,13,29,131,48,83,83,41.9,16,28.6,34,"$1,719,864 ",20
Lindy Waters III,SF,OKC,41,0,530,214,28,14,11,10,75,16,59,70,39.3,58,35.8,16,$0 ,25
Ziaire Williams,SF,MEM,37,4,560,210,35,14,6,37,79,16,63,84,42.9,25,25.8,17,"$4,810,200 ",21
Davis Bertans,PF,DAL,45,1,491,206,21,11,8,10,53,10,43,69,43.1,55,39,13,"$17,000,000 ",30
Dean Wade,PF,CLE,44,13,891,206,37,28,21,17,150,20,130,73,41.2,45,35.4,15,"$5,709,877 ",26
DeAndre Jordan,C,DEN,39,8,585,199,34,12,23,48,202,52,150,88,76.5,1,100,22,"$3,196,448 ",34
Dewayne Dedmon,C,PHI,38,1,426,199,26,9,19,25,134,34,100,77,51,12,30.8,33,$0 ,33
Charles Bassey,C,SAS,35,2,507,199,47,16,33,41,193,75,118,87,64.4,3,37.5,22,"$2,500,000 ",22
Justise Winslow,SF,POR,29,11,775,196,98,30,11,43,145,49,96,81,40.9,14,31.1,20,$0 ,26
Anthony Gill,PF,WAS,59,8,624,195,34,7,12,15,99,37,62,71,53.8,4,13.8,49,"$1,997,238 ",30
Ousmane Dieng,SF,OKC,39,1,568,193,46,14,7,26,105,19,86,76,42,26,26.5,15,"$4,798,440 ",19
Caleb Houstan,SF,ORL,51,4,812,193,30,12,7,18,99,34,65,66,36.3,46,33.8,15,"$2,000,000 ",20
JaVale McGee,C,DAL,42,8,354,186,11,4,26,36,107,30,77,80,64,2,40,24,"$5,734,280 ",35
Christian Koloko,C,TOR,58,19,801,182,31,21,57,20,171,84,87,72,48,1,8.3,37,"$1,719,864 ",22
Jericho Sims,C,NYK,52,16,812,178,25,15,28,27,242,99,143,83,77.6,0,0,12,"$1,927,896 ",24
Isaiah Roby,PF,NYK,42,2,473,172,38,18,7,31,107,21,86,67,43.2,18,30,20,"$2,066,585 ",24
Blake Griffin,C,BOS,41,16,568,170,61,14,9,22,155,47,108,63,48.5,23,34.8,21,$0 ,33
Taj Gibson,C,WAS,48,2,480,168,34,15,12,26,93,32,61,65,52,8,33.3,30,$0 ,37
Goga Bitadze,C,ORL,39,1,457,167,39,16,26,22,137,61,76,69,55.2,6,23.1,23,"$2,066,585 ",23
Kai Jones,PF,CHA,46,0,549,157,15,17,30,31,123,37,86,67,55.8,4,21.1,19,"$3,047,880 ",0
Admiral Schofield,SF,ORL,37,0,451,155,31,8,5,16,62,23,39,55,45.1,24,32.4,21,$0 ,25
Juan Toscano-Anderson,SF,UTA,52,9,700,155,65,16,10,34,124,28,96,64,44.8,8,18.6,19,$0 ,29
Bruno Fernando,C,ATL,39,4,405,153,31,6,34,25,137,54,83,59,52.7,0,0,35,"$2,581,522 ",24
Damian Jones,C,UTA,41,1,477,142,15,8,21,23,122,42,80,55,64,10,58.8,22,"$2,586,665 ",27
Nathan Knight,PF,MIN,38,0,290,139,13,10,6,21,56,22,34,46,56.8,8,36.4,39,$0 ,25
Luka Samanic,PF,UTA,14,8,320,138,30,12,4,20,60,0,60,52,91.2,16,51.6,18,"$2,066,585 ",23
Markieff Morris,PF,DAL,35,2,355,132,31,9,5,18,71,13,58,47,40.9,28,39.4,10,$0 ,33
